Source,Target,Weight
以/verb,以/verb,202
人/noun,人/noun,201
有/verb,有/verb,174
為/verb,為/verb,139
知/verb,知/verb,133
無/verb,無/verb,132
如/verb,如/verb,122
則/adv,則/adv,116
君子/noun,君子/noun,107
道/noun,道/noun,85
仁/noun,仁/noun,81
禮/noun,禮/noun,79
言/noun,言/noun,71
好/verb,好/verb,67
行/verb,行/verb,56
見/verb,見/verb,55
未/adv,未/adv,54
必/adv,必/adv,54
謂/verb,謂/verb,54
言/verb,言/verb,53
子/noun,子/noun,53
天/noun,天/noun,51
聞/verb,聞/verb,48
在/verb,在/verb,47
亦/adv,亦/adv,45
樂/noun,樂/noun,44
民/noun,民/noun,42
小/verb,小/verb,42
大/verb,大/verb,41
邦/noun,邦/noun,40
得/verb,得/verb,39
學/verb,學/verb,38
德/noun,德/noun,38
君/noun,君/noun,38
從/verb,從/verb,38
為/verb,以/verb,37
以/verb,為/verb,37
善/verb,善/verb,36
使/verb,使/verb,35
求/verb,求/verb,35
曰/verb,曰/verb,35
與/verb,與/verb,34
下/noun,下/noun,34
事/noun,事/noun,33
夫子/noun,夫子/noun,33
何/adv,何/adv,33
然/verb,然/verb,32
政/noun,政/noun,31
父/noun,父/noun,31
信/verb,信/verb,30
後/noun,後/noun,30
非/adv,非/adv,30
小/verb,人/noun,29
人/noun,小/verb,29
立/verb,立/verb,27
焉/adv,焉/adv,27
仁/verb,仁/verb,27
遠/verb,遠/verb,26
臣/noun,臣/noun,26
成/verb,成/verb,26
死/verb,死/verb,26
學/noun,學/noun,25
事/verb,事/verb,25
雖/adv,雖/adv,25
居/verb,居/verb,25
思/verb,思/verb,25
今/noun,今/noun,25
賢/verb,賢/verb,24
及/verb,及/verb,24
義/noun,義/noun,22
以/verb,禮/noun,22
禮/noun,以/verb,22
問/verb,問/verb,22
直/verb,直/verb,22
中/noun,中/noun,22
天/noun,下/noun,22
下/noun,天/noun,22
上/noun,上/noun,21
云/verb,云/verb,21
正/verb,正/verb,21
達/verb,達/verb,21
敬/verb,敬/verb,20
用/verb,用/verb,20
文/noun,文/noun,20
年/noun,年/noun,20
色/noun,色/noun,19
由/verb,由/verb,19
多/verb,多/verb,19
說/verb,說/verb,18
可/verb,可/verb,18
命/noun,命/noun,18
惡/verb,惡/verb,18
難/verb,難/verb,18
知/verb,為/verb,17
為/verb,知/verb,17
仁/noun,知/verb,17
知/verb,仁/noun,17
至/verb,至/verb,16
出/verb,出/verb,16
失/verb,失/verb,16
好/verb,學/noun,16
學/noun,好/verb,16
欲/verb,欲/verb,16
人/noun,以/verb,16
以/verb,人/noun,16
莫/adv,莫/adv,16
怨/verb,怨/verb,16
日/noun,日/noun,15
身/noun,身/noun,15
志/noun,志/noun,15
先/noun,先/noun,15
有/verb,道/noun,15
道/noun,有/verb,15
勇/noun,勇/noun,15
惡/noun,惡/noun,15
士/noun,士/noun,15
必/adv,有/verb,15
有/verb,必/adv,15
邦/noun,道/noun,15
道/noun,邦/noun,15
夫/noun,夫/noun,15
人/noun,有/verb,15
有/verb,人/noun,15
人/noun,知/verb,14
知/verb,人/noun,14
過/noun,過/noun,14
未/adv,見/verb,14
見/verb,未/adv,14
人/noun,言/noun,14
言/noun,人/noun,14
則/adv,以/verb,13
以/verb,則/adv,13
道/noun,以/verb,13
以/verb,道/noun,13
亦/adv,以/verb,13
以/verb,亦/adv,13
無/verb,則/adv,13
則/adv,無/verb,13
禮/noun,樂/noun,13
樂/noun,禮/noun,13
以/verb,君子/noun,13
君子/noun,以/verb,13
為/verb,人/noun,12
人/noun,為/verb,12
言/noun,以/verb,12
以/verb,言/noun,12
無/verb,道/noun,12
道/noun,無/verb,12
知/verb,以/verb,12
以/verb,知/verb,12
則/adv,民/noun,12
民/noun,則/adv,12
無/verb,以/verb,12
以/verb,無/verb,12
有/verb,君子/noun,11
君子/noun,有/verb,11
言/noun,有/verb,11
有/verb,言/noun,11
為/verb,無/verb,11
無/verb,為/verb,11
從/verb,政/noun,11
政/noun,從/verb,11
為/verb,仁/noun,10
仁/noun,為/verb,10
君子/noun,無/verb,10
無/verb,君子/noun,10
為/verb,政/noun,10
政/noun,為/verb,10
知/verb,禮/noun,10
禮/noun,知/verb,10
道/noun,則/adv,10
則/adv,道/noun,10
如/verb,好/verb,10
好/verb,如/verb,10
必/adv,在/verb,10
在/verb,必/adv,10
有/verb,天/noun,10
有/verb,下/noun,10
天/noun,有/verb,10
下/noun,有/verb,10
以/verb,文/noun,9
文/noun,以/verb,9
事/verb,君/noun,9
君/noun,事/verb,9
無/verb,知/verb,9
知/verb,無/verb,9
君/noun,臣/noun,9
臣/noun,君/noun,9
為/verb,有/verb,9
有/verb,為/verb,9
有/verb,則/adv,9
則/adv,有/verb,9
然/verb,後/noun,9
後/noun,然/verb,9
曰/verb,有/verb,9
有/verb,曰/verb,9
禮/noun,則/adv,9
則/adv,禮/noun,9
使/verb,民/noun,8
民/noun,使/verb,8
好/verb,上/noun,8
上/noun,好/verb,8
則/adv,學/verb,8
學/verb,則/adv,8
無/verb,如/verb,8
如/verb,無/verb,8
政/noun,以/verb,8
以/verb,政/noun,8
以/verb,德/noun,8
德/noun,以/verb,8
人/noun,無/verb,8
無/verb,人/noun,8
以/verb,行/verb,8
行/verb,以/verb,8
人/noun,如/verb,8
如/verb,人/noun,8
焉/adv,知/verb,8
知/verb,焉/adv,8
君/noun,為/verb,8
為/verb,君/noun,8
邦/noun,有/verb,8
有/verb,邦/noun,8
道/noun,行/verb,8
行/verb,道/noun,8
君子/noun,道/noun,8
道/noun,君子/noun,8
大/verb,夫/noun,8
夫/noun,大/verb,8
人/noun,見/verb,8
見/verb,人/noun,8
亦/adv,有/verb,7
有/verb,亦/adv,7
人/noun,求/verb,7
求/verb,人/noun,7
曰/verb,學/verb,7
學/verb,曰/verb,7
有/verb,政/noun,7
政/noun,有/verb,7
人/noun,仁/verb,7
仁/verb,人/noun,7
為/verb,禮/noun,7
禮/noun,為/verb,7
下/noun,道/noun,7
道/noun,下/noun,7
見/verb,思/verb,7
思/verb,見/verb,7
邦/noun,無/verb,7
無/verb,邦/noun,7
下/noun,以/verb,7
以/verb,下/noun,7
子/noun,為/verb,7
為/verb,子/noun,7
為/verb,難/verb,7
難/verb,為/verb,7
無/verb,禮/noun,7
禮/noun,無/verb,7
有/verb,無/verb,7
無/verb,有/verb,7
與/verb,言/verb,7
言/verb,與/verb,7
聞/verb,行/verb,7
行/verb,聞/verb,7
成/verb,人/noun,7
人/noun,成/verb,7
未/adv,有/verb,6
有/verb,未/adv,6
必/adv,聞/verb,6
聞/verb,必/adv,6
如/verb,則/adv,6
則/adv,如/verb,6
如/verb,謂/verb,6
謂/verb,如/verb,6
小/verb,大/verb,6
大/verb,小/verb,6
大/verb,無/verb,6
無/verb,大/verb,6
無/verb,小/verb,6
小/verb,無/verb,6
亦/adv,為/verb,6
為/verb,亦/adv,6
無/verb,勇/noun,6
勇/noun,無/verb,6
行/verb,則/adv,6
則/adv,行/verb,6
在/verb,中/noun,6
中/noun,在/verb,6
有/verb,如/verb,6
如/verb,有/verb,6
成/verb,事/noun,6
事/noun,成/verb,6
以/verb,成/verb,6
成/verb,以/verb,6
仁/verb,仁/noun,6
仁/noun,仁/verb,6
君子/noun,言/noun,6
言/noun,君子/noun,6
知/verb,則/adv,6
則/adv,知/verb,6
君子/noun,人/noun,6
人/noun,君子/noun,6
焉/adv,用/verb,6
用/verb,焉/adv,6
善/verb,人/noun,6
人/noun,善/verb,6
如/verb,知/verb,6
知/verb,如/verb,6
則/adv,邦/noun,6
邦/noun,則/adv,6
何/adv,有/verb,6
有/verb,何/adv,6
為/verb,君子/noun,6
君子/noun,為/verb,6
以/verb,上/noun,6
上/noun,以/verb,6
人/noun,達/verb,6
達/verb,人/noun,6
人/noun,必/adv,6
必/adv,人/noun,6
人/noun,則/adv,6
則/adv,人/noun,6
言/noun,無/verb,6
無/verb,言/noun,6
何/adv,必/adv,6
必/adv,何/adv,6
言/verb,必/adv,6
必/adv,言/verb,6
臣/noun,父/noun,6
父/noun,臣/noun,6
人/noun,道/noun,6
道/noun,人/noun,6
敬/verb,事/noun,5
事/noun,敬/verb,5
人/noun,使/verb,5
使/verb,人/noun,5
民/noun,以/verb,5
以/verb,民/noun,5
仁/noun,有/verb,5
有/verb,仁/noun,5
事/verb,父/noun,5
父/noun,事/verb,5
未/adv,學/verb,5
學/verb,未/adv,5
為/verb,小/verb,5
小/verb,為/verb,5
無/verb,求/verb,5
求/verb,無/verb,5
民/noun,無/verb,5
無/verb,民/noun,5
以/verb,有/verb,5
有/verb,以/verb,5
人/noun,焉/adv,5
焉/adv,人/noun,5
民/noun,敬/verb,5
敬/verb,民/noun,5
義/noun,為/verb,5
義/noun,無/verb,5
為/verb,義/noun,5
無/verb,義/noun,5
人/noun,子/noun,5
子/noun,人/noun,5
臣/noun,以/verb,5
以/verb,臣/noun,5
仁/noun,焉/adv,5
焉/adv,仁/noun,5
未/adv,與/verb,5
與/verb,未/adv,5
德/noun,小/verb,5
小/verb,德/noun,5
莫/adv,知/verb,5
知/verb,莫/adv,5
聞/verb,夫子/noun,5
夫子/noun,聞/verb,5
得/verb,仁/noun,5
仁/noun,得/verb,5
信/verb,好/verb,5
好/verb,信/verb,5
以/verb,大/verb,5
大/verb,以/verb,5
何/adv,人/noun,5
人/noun,何/adv,5
事/noun,則/adv,5
則/adv,事/noun,5
與/verb,立/verb,5
立/verb,與/verb,5
以/verb,從/verb,5
從/verb,以/verb,5
有/verb,民/noun,5
民/noun,有/verb,5
為/verb,學/noun,5
學/noun,為/verb,5
見/verb,如/verb,5
如/verb,見/verb,5
在/verb,邦/noun,5
邦/noun,在/verb,5
父/noun,子/noun,5
子/noun,父/noun,5
善/verb,如/verb,5
如/verb,善/verb,5
身/noun,正/verb,5
正/verb,身/noun,5
則/adv,樂/noun,5
樂/noun,則/adv,5
言/noun,曰/verb,5
言/noun,為/verb,5
曰/verb,言/noun,5
為/verb,言/noun,5
說/verb,以/verb,5
以/verb,說/verb,5
人/noun,遠/verb,5
遠/verb,人/noun,5
言/noun,色/noun,4
色/noun,言/noun,4
亦/adv,人/noun,4
人/noun,亦/adv,4
亦/adv,君子/noun,4
君子/noun,亦/adv,4
邦/noun,必/adv,4
必/adv,邦/noun,4
行/verb,有/verb,4
有/verb,行/verb,4
以/verb,學/verb,4
學/verb,以/verb,4
君子/noun,則/adv,4
則/adv,君子/noun,4
有/verb,雖/adv,4
雖/adv,有/verb,4
父/noun,在/verb,4
在/verb,父/noun,4
有/verb,知/verb,4
知/verb,有/verb,4
禮/noun,亦/adv,4
亦/adv,禮/noun,4
曰/verb,無/verb,4
無/verb,曰/verb,4
知/verb,天/noun,4
天/noun,知/verb,4
天/noun,無/verb,4
無/verb,天/noun,4
禮/noun,言/verb,4
言/verb,禮/noun,4
使/verb,臣/noun,4
臣/noun,使/verb,4
夫子/noun,為/verb,4
為/verb,夫子/noun,4
人/noun,惡/verb,4
惡/verb,人/noun,4
德/noun,人/noun,4
人/noun,德/noun,4
為/verb,如/verb,4
如/verb,為/verb,4
未/adv,好/verb,4
好/verb,未/adv,4
好/verb,仁/noun,4
仁/noun,好/verb,4
仁/noun,以/verb,4
以/verb,仁/noun,4
求/verb,為/verb,4
為/verb,求/verb,4
成/verb,君子/noun,4
君子/noun,成/verb,4
德/noun,必/adv,4
必/adv,德/noun,4
好/verb,勇/noun,4
勇/noun,好/verb,4
問/verb,以/verb,4
以/verb,問/verb,4
君子/noun,行/verb,4
行/verb,君子/noun,4
言/noun,然/verb,4
然/verb,言/noun,4
行/verb,無/verb,4
無/verb,行/verb,4
聞/verb,君子/noun,4
君子/noun,聞/verb,4
使/verb,政/noun,4
政/noun,使/verb,4
今/noun,則/adv,4
則/adv,今/noun,4
則/adv,未/adv,4
未/adv,則/adv,4
從/verb,何/adv,4
政/noun,何/adv,4
何/adv,從/verb,4
何/adv,政/noun,4
說/verb,道/noun,4
道/noun,說/verb,4
知/verb,好/verb,4
好/verb,知/verb,4
謂/verb,仁/noun,4
仁/noun,謂/verb,4
人/noun,下/noun,4
下/noun,人/noun,4
君子/noun,學/verb,4
學/verb,君子/noun,4
如/verb,仁/noun,4
仁/noun,如/verb,4
為/verb,樂/noun,4
樂/noun,為/verb,4
賢/verb,人/noun,4
人/noun,賢/verb,4
以/verb,求/verb,4
求/verb,以/verb,4
曰/verb,人/noun,4
人/noun,曰/verb,4
樂/noun,以/verb,4
以/verb,樂/noun,4
知/verb,小/verb,4
小/verb,知/verb,4
小/verb,子/noun,4
子/noun,小/verb,4
人/noun,天/noun,4
天/noun,人/noun,4
則/adv,見/verb,4
見/verb,則/adv,4
好/verb,德/noun,4
德/noun,好/verb,4
言/verb,無/verb,4
無/verb,言/verb,4
與/verb,道/noun,4
道/noun,與/verb,4
人/noun,後/noun,4
後/noun,人/noun,4
如/verb,用/verb,4
用/verb,如/verb,4
事/verb,人/noun,4
人/noun,事/verb,4
言/verb,言/noun,4
言/noun,言/verb,4
子/noun,曰/verb,4
曰/verb,子/noun,4
以/verb,居/verb,4
居/verb,以/verb,4
有/verb,勇/noun,4
勇/noun,有/verb,4
非/adv,禮/noun,4
禮/noun,非/adv,4
人/noun,在/verb,4
在/verb,人/noun,4
無/verb,怨/verb,4
怨/verb,無/verb,4
失/verb,人/noun,4
人/noun,失/verb,4
人/noun,惡/noun,4
惡/noun,人/noun,4
為/verb,焉/adv,4
焉/adv,為/verb,4
好/verb,則/adv,4
則/adv,好/verb,4
信/verb,則/adv,4
則/adv,信/verb,4
言/noun,邦/noun,4
邦/noun,言/noun,4
謂/verb,士/noun,4
士/noun,謂/verb,4
思/verb,義/noun,4
義/noun,思/verb,4
言/verb,謂/verb,4
謂/verb,言/verb,4
言/noun,知/verb,4
知/verb,言/noun,4
以/verb,信/verb,4
信/verb,以/verb,4
人/noun,大/verb,4
大/verb,人/noun,4
思/verb,敬/verb,4
敬/verb,思/verb,4
云/verb,樂/noun,4
樂/noun,云/verb,4
色/noun,仁/noun,3
仁/noun,色/noun,3
人/noun,民/noun,3
使/verb,以/verb,3
民/noun,人/noun,3
以/verb,使/verb,3
有/verb,遠/verb,3
遠/verb,有/verb,3
未/adv,君子/noun,3
君子/noun,未/adv,3
邦/noun,聞/verb,3
聞/verb,邦/noun,3
則/adv,出/verb,3
出/verb,則/adv,3
學/verb,文/noun,3
文/noun,學/verb,3
如/verb,過/noun,3
過/noun,如/verb,3
以/verb,得/verb,3
得/verb,以/verb,3
得/verb,夫子/noun,3
夫子/noun,得/verb,3
雖/adv,曰/verb,3
曰/verb,雖/adv,3
曰/verb,未/adv,3
未/adv,曰/verb,3
道/noun,謂/verb,3
謂/verb,道/noun,3
義/noun,言/noun,3
言/noun,義/noun,3
失/verb,亦/adv,3
亦/adv,失/verb,3
可/verb,未/adv,3
未/adv,可/verb,3
好/verb,禮/noun,3
禮/noun,好/verb,3
求/verb,居/verb,3
居/verb,求/verb,3
有/verb,正/verb,3
正/verb,有/verb,3
德/noun,如/verb,3
如/verb,德/noun,3
知/verb,命/noun,3
天/noun,命/noun,3
命/noun,知/verb,3
命/noun,天/noun,3
禮/noun,有/verb,3
有/verb,禮/noun,3
敬/verb,以/verb,3
以/verb,敬/verb,3
行/verb,言/noun,3
行/verb,後/noun,3
言/noun,行/verb,3
後/noun,行/verb,3
思/verb,則/adv,3
則/adv,思/verb,3
以/verb,如/verb,3
如/verb,以/verb,3
知/verb,大/verb,3
大/verb,知/verb,3
何/adv,以/verb,3
以/verb,何/adv,3
多/verb,聞/verb,3
聞/verb,多/verb,3
言/verb,則/adv,3
則/adv,言/verb,3
多/verb,見/verb,3
見/verb,多/verb,3
天/noun,子/noun,3
子/noun,天/noun,3
仁/verb,如/verb,3
如/verb,仁/verb,3
如/verb,禮/noun,3
禮/noun,如/verb,3
如/verb,樂/noun,3
樂/noun,如/verb,3
君/noun,如/verb,3
如/verb,君/noun,3
臣/noun,事/verb,3
事/verb,臣/noun,3
事/verb,以/verb,3
以/verb,事/verb,3
事/noun,說/verb,3
說/verb,事/noun,3
然/verb,則/adv,3
則/adv,然/verb,3
下/noun,無/verb,3
無/verb,下/noun,3
好/verb,人/noun,3
人/noun,好/verb,3
仁/noun,無/verb,3
無/verb,仁/noun,3
無/verb,惡/noun,3
惡/noun,無/verb,3
聞/verb,道/noun,3
道/noun,聞/verb,3
道/noun,死/verb,3
死/verb,道/noun,3
人/noun,過/noun,3
過/noun,人/noun,3
夫子/noun,道/noun,3
道/noun,夫子/noun,3
見/verb,好/verb,3
見/verb,仁/noun,3
好/verb,見/verb,3
仁/noun,見/verb,3
以/verb,惡/noun,3
惡/noun,以/verb,3
身/noun,有/verb,3
有/verb,身/noun,3
有/verb,用/verb,3
用/verb,有/verb,3
有/verb,見/verb,3
見/verb,有/verb,3
以/verb,立/verb,3
立/verb,以/verb,3
道/noun,得/verb,3
得/verb,道/noun,3
惡/verb,以/verb,3
以/verb,惡/verb,3
君子/noun,義/noun,3
義/noun,君子/noun,3
未/adv,信/verb,3
信/verb,未/adv,3
君子/noun,焉/adv,3
焉/adv,君子/noun,3
求/verb,如/verb,3
如/verb,求/verb,3
焉/adv,得/verb,3
得/verb,焉/adv,3
聞/verb,以/verb,3
聞/verb,知/verb,3
以/verb,聞/verb,3
知/verb,聞/verb,3
亦/adv,無/verb,3
無/verb,亦/adv,3
今/noun,人/noun,3
人/noun,今/noun,3
得/verb,聞/verb,3
聞/verb,得/verb,3
未/adv,知/verb,3
知/verb,未/adv,3
民/noun,義/noun,3
義/noun,民/noun,3
無/verb,色/noun,3
色/noun,無/verb,3
言/verb,志/noun,3
志/noun,言/verb,3
則/adv,曰/verb,3
曰/verb,則/adv,3
居/verb,行/verb,3
行/verb,居/verb,3
仁/noun,則/adv,3
則/adv,仁/noun,3
使/verb,從/verb,3
從/verb,使/verb,3
求/verb,從/verb,3
從/verb,求/verb,3
非/adv,子/noun,3
子/noun,非/adv,3
善/verb,為/verb,3
為/verb,善/verb,3
則/adv,在/verb,3
在/verb,則/adv,3
以/verb,未/adv,3
未/adv,以/verb,3
死/verb,無/verb,3
無/verb,死/verb,3
年/noun,以/verb,3
以/verb,年/noun,3
人/noun,行/verb,3
行/verb,人/noun,3
行/verb,必/adv,3
必/adv,行/verb,3
子/noun,以/verb,3
以/verb,子/noun,3
行/verb,子/noun,3
子/noun,行/verb,3
仁/noun,欲/verb,3
欲/verb,仁/noun,3
謂/verb,德/noun,3
德/noun,謂/verb,3
下/noun,民/noun,3
民/noun,下/noun,3
善/verb,君子/noun,3
君子/noun,善/verb,3
事/noun,有/verb,3
有/verb,事/noun,3
遠/verb,仁/verb,3
仁/verb,遠/verb,3
如/verb,及/verb,3
及/verb,如/verb,3
有/verb,臣/noun,3
臣/noun,有/verb,3
學/verb,無/verb,3
無/verb,學/verb,3
居/verb,下/noun,3
下/noun,居/verb,3
大/verb,為/verb,3
為/verb,大/verb,3
事/noun,君子/noun,3
君子/noun,事/noun,3
在/verb,天/noun,3
天/noun,在/verb,3
君子/noun,居/verb,3
居/verb,君子/noun,3
臣/noun,為/verb,3
為/verb,臣/noun,3
死/verb,子/noun,3
子/noun,死/verb,3
則/adv,事/verb,3
事/verb,則/adv,3
非/adv,人/noun,3
夫/noun,人/noun,3
人/noun,非/adv,3
人/noun,夫/noun,3
未/adv,人/noun,3
事/verb,焉/adv,3
人/noun,未/adv,3
焉/adv,事/verb,3
人/noun,言/verb,3
言/verb,人/noun,3
言/noun,必/adv,3
必/adv,言/noun,3
亦/adv,言/verb,3
言/verb,亦/adv,3
死/verb,有/verb,3
有/verb,死/verb,3
從/verb,大/verb,3
從/verb,夫/noun,3
大/verb,從/verb,3
大/verb,後/noun,3
夫/noun,從/verb,3
夫/noun,後/noun,3
後/noun,大/verb,3
後/noun,夫/noun,3
在/verb,聞/verb,3
聞/verb,在/verb,3
謂/verb,臣/noun,3
大/verb,臣/noun,3
臣/noun,謂/verb,3
臣/noun,大/verb,3
問/verb,聞/verb,3
聞/verb,問/verb,3
曰/verb,聞/verb,3
聞/verb,曰/verb,3
曰/verb,如/verb,3
如/verb,曰/verb,3
道/noun,事/verb,3
事/verb,道/noun,3
年/noun,有/verb,3
有/verb,年/noun,3
民/noun,禮/noun,3
禮/noun,民/noun,3
非/adv,邦/noun,3
邦/noun,非/adv,3
難/verb,無/verb,3
無/verb,難/verb,3
民/noun,信/verb,3
信/verb,民/noun,3
人/noun,邦/noun,3
在/verb,無/verb,3
邦/noun,人/noun,3
無/verb,在/verb,3
無/verb,立/verb,3
立/verb,無/verb,3
